Entropy,StdReturn,dLoss,MeanKLBefore,AverageDiscountedReturn,ExplainedVariance,LossAfter,AverageReturn,vf_LossBefore,MaxReturn,vf_dLoss,vf_LossAfter,Iteration,LossBefore,Perplexity,MinReturn,MeanKL,AveragePolicyStd,NumTrajs,vf_MeanKL
32.0438460795,81.7292101744,0.03471055188,0.0,235.136709754,0.133509914796,-0.03471055188,247.082104718,6.74753627374,1291.16021999,0.199910609769,6.54762566397,60,6.44970312528e-18,8.25022003227e+13,-497.740169777,0.00995609780498,0.974851142821,3164,0.0059790924539
32.0351578947,79.8745298197,0.0273534563615,0.0,233.663165746,0.173262442404,-0.0273534563615,245.032840099,6.4947600139,1153.31871198,0.129826195871,6.36493381803,61,-3.33578815611e-17,8.17885107851e+13,-503.850547931,0.00640684645943,0.974486018384,3226,0.00398076004693
32.0292738117,90.7697768035,0.0280073479081,0.0,238.222336437,0.171856314264,-0.0280073479081,250.983477668,6.57469163819,1671.80774231,0.127347585877,6.44734405232,62,2.98853624172e-17,8.13086734801e+13,-784.390786435,0.0064152660982,0.974247399676,3154,0.00385303940275
32.0119371179,93.87719759,0.0357163481712,0.0,240.186663527,0.179270787421,-0.0357163481712,252.803936777,6.56516924844,1423.85732317,0.107931672099,6.45723757634,63,-7.72551301671e-17,7.99111987097e+13,-846.821914555,0.00995444739784,0.973513680559,3104,0.00325127472911
31.9987092366,115.098989696,0.0310272608057,0.0,239.112380694,0.11445447879,-0.0310272608057,252.193092556,7.15952350455,1833.44369808,0.208989916712,6.95053358784,64,4.37059176666e-17,7.88611034332e+13,-3476.41345403,0.00997718155054,0.972959877929,3036,0.00630310814132
31.9955759502,92.2331638795,0.0282157838048,0.0,239.141061605,0.209140582768,-0.0282157838048,251.307415411,6.37073402038,1245.56225256,0.0899901756168,6.28074384476,65,3.09071051178e-18,7.861439572e+13,-1115.38561413,0.00640365755381,0.97283547427,2981,0.00526521922187
31.9843545156,86.0348514788,0.0355695486153,0.0,240.627822883,0.282223034002,-0.0355695486153,253.134808264,6.13898611435,1381.75483936,0.0822386402913,6.05674747406,66,8.5187667479e-17,7.77371605408e+13,-482.896333157,0.009966740538,0.972372462749,3005,0.0095376259992
31.9818959804,96.9271814728,0.0372395011438,0.0,244.666024143,0.266113004358,-0.0372395011438,258.417614616,6.24630414506,1599.65162706,0.0689067537854,6.17739739127,67,-4.43180799455e-17,7.75462757359e+13,-860.902460418,0.00999394472189,0.972275604949,2911,0.00764810356653
31.9771400227,120.953840377,0.036029605691,0.0,245.950903425,0.191146485086,-0.036029605691,260.093161914,6.52805656891,1780.46678764,0.0613175576933,6.46673901121,68,-4.62445768369e-17,7.71783445583e+13,-1400.04086245,0.00999222954564,0.972082215228,2847,0.00355443576357
31.9692174331,613.185221001,0.012711727663,0.0,234.349898609,0.0260034077816,-0.012711727663,247.02647832,12.9149437798,1638.75795945,1.22120227439,11.6937415054,69,-6.91902626621e-17,7.65693079641e+13,-32462.1471312,0.00963096285372,0.971750540663,2928,0.00926066545712
